Date,Open,High,Low,Close,Adj Close,Volume
4/18/2002,112.900002,113.459999,111.150002,112.470001,83.225525,25204800
4/19/2002,113.199997,113.239998,112.559998,112.879997,83.528908,10499200
4/22/2002,112.379997,112.43,110.839996,111,82.137779,13922900
4/23/2002,111.089996,111.480003,110.169998,110.519997,81.782562,16967000
4/24/2002,110.559998,111.809998,109.400002,109.410004,80.961197,18902700
4/25/2002,109.209999,109.739998,108.720001,109.470001,81.005608,25451500
4/26/2002,109.790001,110.010002,107.290001,107.389999,79.466454,19769800
4/29/2002,107.93,108.260002,106.629997,106.860001,79.074242,17724400
4/30/2002,107.019997,108.639999,106.639999,107.860001,79.814232,19473500
5/1/2002,107.970001,109.25,106.800003,109.18,80.791,24575600
5/2/2002,109.099998,109.910004,107.779999,108.760002,80.480194,15666800
5/3/2002,108.599998,108.760002,107.199997,107.580002,79.607033,18185500
5/6/2002,107.639999,107.989998,105.309998,105.470001,78.045654,23630400
5/7/2002,106.099998,106.32,104.900002,105.099998,77.771881,21910000
5/8/2002,107.050003,109.360001,106.790001,109.010002,80.665199,27917400
5/9/2002,108.650002,109.099998,107.580002,107.75,79.732811,18085600
5/10/2002,107.970001,108.050003,105.599998,105.720001,78.230652,18958900
5/13/2002,106.220001,107.949997,105.790001,107.870003,79.821609,14677700
5/14/2002,109.620003,110.370003,109,110.220001,81.560577,34201200
5/15/2002,109.5,110.910004,109.290001,109.790001,81.242401,29535300
5/16/2002,109.699997,110.480003,109.330002,110.360001,81.664177,28092000
5/17/2002,110.660004,111.25,110.099998,110.900002,82.063782,27823700
5/20/2002,110.639999,110.690002,109.489998,109.699997,81.175774,13833800
5/21/2002,110.110001,110.480003,108.32,108.699997,80.435806,16877200
5/22/2002,108.220001,109.120003,108,108.940002,80.613403,15844200
5/23/2002,109.260002,110.360001,108.480003,110.099998,81.471802,13879800
5/24/2002,109.980003,110.199997,108.610001,108.690002,80.428391,11877000
5/28/2002,109.050003,109.129997,107.449997,108.099998,79.991806,24236900
5/29/2002,107.620003,108.019997,107.129997,107.300003,79.399849,14773300
5/30/2002,106.550003,107.510002,105.900002,107,79.177834,18217900
5/31/2002,107.400002,108.559998,106.849998,107.220001,79.340652,19826300
6/3/2002,107.089996,107.599998,104.129997,104.370003,77.231674,26056300
6/4/2002,104.150002,105.199997,103.550003,104.629997,77.42408,25856200
